County,ShortName,CD,Clinton,Trump,Total,,,,,,,,,,,,,,,,,,,,,
Guadalupe (pt.),Guadalupe,15,"14,413","29,713","45,992","1,866",,,,,,,,,,,,,,,,,,,,
Guadalupe (pt.),Guadalupe,35,"3,978","6,919","11,465",568,,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,2,"119,659","145,530","277,873","12,684",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,7,"124,722","121,204","257,308","11,382",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,8,"9,942","18,971","30,192","1,279",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,9,"108,272","23,864","135,871","3,735",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,10,"38,403","75,445","118,634","4,786",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,18,"157,117","41,011","205,514","7,386",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,22,"16,053","16,790","34,309","1,466",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,29,"95,027","34,011","133,642","4,604",,,,,,,,,,,,,,,,,,,,
Harris (pt.),Harris,36,"38,719","69,129","112,091","4,243",,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,21,"8,733","9,668","19,873","1,472",,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,25,"9,160","14,202","24,753","1,391",,,,,,,,,,,,,,,,,,,,
Hays (pt.),Hays,35,"15,331","9,956","27,115","1,828",,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,15,"81,544","33,738","119,277","3,995",,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,28,"19,071","8,104","28,000",825,,,,,,,,,,,,,,,,,,,,
Hidalgo (pt.),Hidalgo,34,"18,194","6,800","25,818",824,,,,,,,,,,,,,,,,,,,,
LaSalle (pt.),LaSalle,23,988,774,"1,808",47,,,,,,,,,,,,,,,,,,,,
LaSalle (pt.),LaSalle,28,141,98,247,7,,,,,,,,,,,,,,,,,,,,
Lee (pt.),Lee,10,963,"3,350","4,398",85,,,,,,,,,,,,,,,,,,,,
Lee (pt.),Lee,17,409,"1,647","2,125",69,,,,,,,,,,,,,,,,,,,,
Leon (pt.),Leon,8,419,"3,019","3,486",48,,,,,,,,,,,,,,,,,,,,
Leon (pt.),Leon,17,490,"3,372","3,921",59,,,,,,,,,,,,,,,,,,,,
San Patricio (pt.),SanPatricio,27,"4,558","10,249","15,318",511,,,,,,,,,,,,,,,,,,,,
San Patricio (pt.),SanPatricio,34,"3,313","2,781","6,269",175,,,,,,,,,,,,,,,,,,,,
Stephens (pt.),Stephens,11,289,"2,138","2,486",59,,,,,,,,,,,,,,,,,,,,
Stephens (pt.),Stephens,19,59,896,968,13,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,6,"95,017","92,010","195,185","8,158",,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,12,"82,727","123,915","216,933","10,291",,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,24,"40,403","69,270","115,170","5,497",,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,25,778,"2,131","3,027",118,,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,26,"20,064","45,051","68,306","3,191",,,,,,,,,,,,,,,,,,,,
Tarrant (pt.),Tarrant,33,"49,403","13,544","64,880","1,933",,,,,,,,,,,,,,,,,,,,
Travis (pt.),Travis,10,"74,802","30,760","112,524","6,962",,,,,,,,,,,,,,,,,,,,
